MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
CB6.4,110176,BAY313,TWQM,MAIN,VADEQ,ODU,CB6.4,2/16/2000,9:41:00,10,5,8,1,S ,D,S1,CHLA,,3.738,UG/L,L01 ,AMRL,,,,,37.23653,-76.20799,T3
CB6.4,110443,BAY314,TWQM,MAIN,VADEQ,ODU,CB6.4,3/14/2000,11:13:00,9,,,1,S ,D,S1,CHLA,,4.1652,UG/L,L01 ,AMRL,,,,,37.23653,-76.20799,T3
CB6.4,110952,BAY317,TWQM,MAIN,VADEQ,ODU,CB6.4,4/24/2000,13:56:00,11,7,9,1,S ,D,S1,CHLA,,12.282,UG/L,L01 ,AMRL,,,,Samples filtered day after collection.,37.23653,-76.20799,T3
CB6.4,111347,BAY319,TWQM,MAIN,VADEQ,ODU,CB6.4,5/26/2000,12:12:00,10,4,6,1,S ,D,S1,CHLA,,11.214,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,96802,BAY320,TWQM,MAIN,VADEQ,ODU,CB6.4,6/12/2000,13:06:00,10,5,6,1,S ,D,S1,CHLA,,7.209,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,97208,BAY322,TWQM,MAIN,VADEQ,ODU,CB6.4,7/14/2000,9:27:00,10,7,8,1,S ,D,S1,CHLA,,10.146,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,78163,BAY332,TWQM,MAIN,VADEQ,ODU,CB6.4,1/8/2001,9:48:00,11,3,3,1,S ,D,S1,CHLA,,2.2428,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,97389,BAY323,TWQM,MAIN,VADEQ,ODU,CB6.4,7/28/2000,9:49:00,10,6,7,1,S ,D,S1,CHLA,,12.816,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,97445,BAY324,TWQM,MAIN,VADEQ,ODU,CB6.4,8/7/2000,9:43:00,9,,,1,S ,D,S1,CHLA,,10.0392,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,97756,BAY325,TWQM,MAIN,VADEQ,ODU,CB6.4,8/25/2000,11:54:00,9,4,4,1,S ,D,S1,CHLA,,8.1168,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,97970,BAY326,TWQM,MAIN,VADEQ,ODU,CB6.4,9/14/2000,8:42:00,10,5,5,1,S ,D,S1,CHLA,,6.6216,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,98209,BAY328,TWQM,MAIN,VADEQ,ODU,CB6.4,10/10/2000,12:45:00,10,4,8,1,S ,D,S1,CHLA,,4.0584,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,98552,BAY330,TWQM,MAIN,VADEQ,ODU,CB6.4,11/13/2000,14:21:00,10,,,1,S ,D,S1,CHLA,,2.9904,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,98895,BAY331,TWQM,MAIN,VADEQ,ODU,CB6.4,12/14/2000,11:12:00,11,,,1,S ,D,S1,CHLA,,4.5924,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,59654,BAY352,TWQM,MAIN,VADEQ,ODU,CB6.4,1/16/2002,14:17:00,11,,,1,S ,D,S1,CHLA,,4.272,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,59926,BAY353,TWQM,MAIN,VADEQ,ODU,CB6.4,2/15/2002,12:52:00,11,,,1,S ,D,S1,CHLA,,1.8156,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
