year,week,light,PO4,NH4,NO3_2,SiO4,Precip,Secchi.depth,Salinity,Temperature_SURF,ChlA
1959,1,NA,NA,NA,NA,NA,0.138571429,NA,30.28,0.4,NA
1959,2,203.49,0.5,NA,0,1,0.001428571,NA,NA,NA,NA
1959,3,113.82,0.8,NA,0,0.4,0.152857143,NA,30.19,-0.4,NA
1959,4,183.75,0.2,NA,0,0.9,0.018571429,NA,30.26,NA,NA
1959,5,221.76,NA,NA,0,1.2,0.12,NA,30.43,-0.2,NA
1959,6,187.74,0.2,NA,0,0.6,0.237142857,NA,NA,NA,NA
1959,7,185.22,0.5,NA,0,0.1,0.131428571,NA,29.42,0.6,NA
1959,8,318.78,0.1,NA,0,0.8,0.048571429,NA,30.28,0.4,NA
1959,9,286.02,0.2,NA,0,0.8,0.202857143,NA,28.24,1.4,NA
1959,10,326.34,NA,NA,NA,NA,0.235714286,NA,29.94,2.2,NA
1959,11,362.46,0,NA,0,0,0.192857143,NA,NA,2.7,NA
1959,12,517.44,0,NA,0,0,0.101428571,NA,29.25,3.1,NA
1959,13,318.15,0.2,NA,0,1,0.13,NA,28.73,3.8,NA
1959,14,394.17,0.5,NA,0,0,0.187142857,NA,29.18,5.6,NA
1959,15,417.9,0.7,NA,0,0.8,0.115714286,NA,28.7,7,NA
1959,16,462.84,0.8,NA,0,2.3,0.098571429,NA,28.48,8.4,NA
1959,17,416.01,0.8,NA,0,1,0.145714286,NA,28.78,8.6,NA
1959,18,565.95,0.5,NA,0,2,0.062857143,NA,28.66,11,NA
1959,19,523.95,0.2,NA,0,4,0.101428571,NA,30.1,12,NA
1959,20,463.68,0.4,NA,0.208,8,0.024285714,NA,29.47,12.2,NA
1959,21,622.65,0.7,NA,0.52,3,0.014285714,NA,29.99,13.6,NA
1959,22,497.91,0.7,NA,0.208,8,0.171428571,NA,29.33,16.8,NA
1959,23,636.72,0.5,NA,0,17,0.035714286,NA,29.83,18.6,NA
1959,24,316.05,1.3,NA,0.572,19,0.235714286,NA,30.39,15.8,NA
1959,25,510.51,NA,NA,NA,NA,0.164285714,NA,30.5,15.5,NA
1959,26,368.55,2.5,NA,0,28,0.092857143,NA,29.63,18.4,NA
1959,27,596.4,1,NA,0,26,0.031428571,NA,30.08,19,NA
1959,28,324.24,1.5,NA,0,23,0.53,NA,29.92,20.6,NA
1959,29,391.23,1.6,NA,0,23,0.004285714,NA,31.02,20.2,NA
1959,30,561.54,2.2,NA,0,14,0.002857143,NA,NA,23.8,NA
1959,31,523.53,2.5,NA,NA,18,0.065714286,NA,28.55,22,NA
1959,32,416.85,2,NA,0.936,19,0.06,NA,29.18,20.6,NA
1959,33,518.91,2.22,NA,0.364,19,0.001428571,NA,30.44,21.2,NA
1959,34,464.1,1.83,NA,0,4.33,0.055714286,NA,NA,20,NA
1959,35,364.56,2.42,NA,0.2912,0,0.385714286,NA,NA,23,NA
1959,36,441.42,2.48,NA,0.364,0,0.012857143,NA,NA,23,NA
1959,37,425.04,NA,NA,0.26,NA,0.031428571,NA,30.39,20.4,NA
1959,38,454.02,1.35,NA,0,NA,0,NA,30.44,18.2,NA
1959,39,417.48,1.82,NA,0.1456,10.52,0.001428571,NA,30.86,19.6,NA
1959,40,270.06,3.66,NA,1.7056,22,0.122857143,NA,31.04,19.4,NA
1959,41,214.2,2.5,NA,2.0176,24.5,0.252857143,NA,30.07,18,NA
1959,42,352.8,0.98,NA,2.2464,30,0.001428571,NA,31.18,14.8,NA
1959,43,208.95,2.22,NA,3.276,28,0.271428571,NA,30.53,14,NA
1959,44,236.25,2.74,NA,2.964,44,0.037142857,NA,31.04,12.3,NA
1959,45,164.43,2.95,NA,6.968,35,0.082857143,NA,28.91,10.6,NA
