1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
3.48695279,3.52357175,2.718115732,1.93591504,1.228332345,1.120343255,0.949364046,1.410595696,1.11733316,3.423914545,0.888216727,1.093576633
3.620446264,3.688689865,2.837554937,2.04865621,1.302764838,1.075840214,0.900616154,1.163756936,1.240607309,3.425791537,0.749208664,0.958555416
3.715114829,3.791047854,2.964463992,2.198403562,1.468190462,1.12158228,0.94649429,1.019731976,1.439335373,3.381780823,0.611999816,0.889186643
3.759420553,3.826768382,3.085947779,2.392901012,1.724998349,1.30662288,1.163135923,0.944413392,1.684549013,3.304279569,0.463636346,0.827449664
3.766438451,3.8020622,3.198175571,2.607810026,2.034004402,1.618410811,1.48575843,0.958276056,1.949466342,3.228773318,0.365424583,0.797157856
3.721411739,3.756410958,3.299909781,2.842485249,2.383814617,1.977482607,1.903999635,1.049349919,2.209129642,3.119858663,0.411970618,0.826770687
3.638776678,3.69121847,3.377206861,3.068581083,2.747155293,2.324414761,2.267166925,1.225569285,2.431910736,3.03340841,0.552792011,0.909649086
3.530373723,3.58003574,3.432626738,3.266133346,3.088528049,2.666894378,2.624080376,1.498960338,2.631248329,2.966367675,0.777121916,1.051543811
3.395669581,3.471617079,3.454868152,3.414400657,3.395505659,2.96881447,2.9037063,1.881321396,2.648513822,2.933246065,1.189735497,1.224855651
3.24434751,3.308908844,3.447127073,3.504190442,3.615789278,3.184098573,2.997728663,2.256634388,2.477522072,2.940340188,1.692303523,1.485871984
3.079835574,3.124994878,3.39318722,3.532326489,3.751201212,3.202474594,2.931226282,2.563191483,2.232803425,2.89634006,2.142721114,1.814716381
2.933468253,2.979620893,3.314808351,3.497198962,3.77333199,3.091279881,2.940634744,2.661027057,2.078867042,2.788868556,2.394139364,2.104491469
2.800479405,2.953664746,3.210514314,3.404542905,3.63908332,2.862028765,2.944969341,2.597339604,1.948100579,2.59541022,2.4815334,2.274705604
2.67908019,3.032343088,3.080424171,3.252200991,3.337336931,2.739938036,2.911678478,2.422327336,1.761292979,2.408184712,2.403466785,2.235569392
2.577508331,3.023325594,2.938520161,3.081552391,2.981927812,2.60530892,2.782597775,2.28011756,1.575105019,2.195311264,2.226774702,2.115914249
2.499881926,2.875831799,2.792632562,2.900619255,2.715258525,2.56028677,2.655209758,2.003099075,1.473890216,1.990972548,2.018728053,2.018019729
2.452999221,2.757469229,2.656639221,2.721160781,2.538089892,2.468002798,2.471178294,1.817364927,1.414319529,1.831647316,1.797815032,1.941769326
2.419267367,2.574217874,2.535538496,2.572376713,2.507650161,2.387129369,2.313432186,1.73188946,1.449741979,1.868898659,1.676497122,1.990922573
2.40079561,2.439232051,2.446275835,2.47035483,2.542014065,2.416203725,2.227058194,1.809693409,1.489069516,1.765793111,1.644150558,2.129536136
