Year,Month,Week,Chl
2000,1,1,8.2848861
2000,1,2,8.914998917
2000,1,3,9.327390049
2000,1,4,9.451204261
2000,2,5,9.537850318
2000,2,6,10.06008958
2000,2,7,10.57245125
2000,2,8,11.17882099
2000,2,9,11.77354446
2000,3,10,11.83430019
2000,3,11,11.49309941
2000,3,12,10.94482025
2000,3,13,10.18641942
2000,4,14,9.05983978
2000,4,15,8.219955901
2000,4,16,7.936014926
2000,4,17,7.136549365
2000,5,18,7.016726086
2000,5,19,7.397332163
2000,5,20,7.422098834
2000,5,21,8.146663061
2000,5,22,8.72244086
2000,6,23,9.447078961
2000,6,24,10.19228957
2000,6,25,11.18603986
2000,6,26,10.76002812
2000,7,27,10.23107455
2000,7,28,9.929659793
2000,7,29,9.80944942
2000,7,30,9.996226322
2000,7,31,9.754881457
2000,8,32,9.739575304
2000,8,33,10.56457464
2000,8,34,10.88813545
2000,8,35,11.53936032
2000,9,36,11.47995337
2000,9,37,12.35021572
2000,9,38,13.12039141
2000,9,39,12.64229438
2000,10,40,11.8261908
2000,10,41,10.62428247
2000,10,42,9.275388112
2000,10,43,7.473332692
2000,10,44,6.278669483
2000,11,45,5.251138084
2000,11,46,4.619782258
2000,11,47,4.108943611
2000,11,48,3.960873682
2000,12,49,3.71035165
2000,12,50,3.407887798
2000,12,51,3.538949688
2000,12,52,3.619403715
2001,1,1,3.758802195
2001,1,2,4.107522622
2001,1,3,5.047026069
2001,1,4,6.232440976
2001,1,5,7.487370669
2001,2,6,8.176425004
2001,2,7,7.380691874
2001,2,8,6.223649603
2001,2,9,6.021978204
2001,3,10,5.517424308
2001,3,11,5.590807233
2001,3,12,5.713778553
2001,3,13,6.685304946
2001,3,14,7.048529134
2001,4,15,7.114644529
2001,4,16,6.902535625
2001,4,17,5.604014278
2001,4,18,4.375015584
2001,5,19,4.111203313
2001,5,20,4.106084232
2001,5,21,4.189153033
2001,5,22,4.412048055
2001,6,23,4.869322066
2001,6,24,5.499312149
2001,6,25,6.399116399
2001,6,26,7.505460903
2001,7,27,8.634458611
2001,7,28,9.460358329
2001,7,29,9.567178369
2001,7,30,10.09864065
2001,7,31,11.46499382
2001,8,32,12.68573342
2001,8,33,13.53187463
2001,8,34,14.53251207
2001,8,35,13.25604604
2001,9,36,12.1419366
2001,9,37,11.2561653
2001,9,38,10.54115338
2001,9,39,9.777944748
2001,10,40,9.399496471
