X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019
3.007682423,7.783084174,1.588326649,1.592241432,3.810644721,2.109143509,2.457738605,8.279100929,9.347805969,4.406491898
3.894641936,9.290937317,2.06204672,1.877142589,4.405014416,2.400035455,2.611371317,8.691641694,13.75387074,5.994664065
5.122879985,9.736069918,2.946417784,2.41793935,5.263121675,2.720501298,3.055479567,9.107717873,20.56460944,8.001093317
6.26454027,9.241736714,4.410364914,3.076408327,6.021644604,3.153056914,3.703268203,9.425076029,26.21785106,10.55748865
6.964712517,9.085553985,6.451907671,3.70506973,5.967513455,3.780538126,4.667811671,10.00592905,26.59151747,12.60301389
6.441670301,8.577242535,8.512760244,4.28782899,5.118371996,4.275122675,6.012653986,9.774546628,22.22854836,12.74442098
5.365794084,8.126394855,10.26900751,4.636496151,4.25615158,4.83103079,7.456707724,9.574736556,15.12876779,10.67495937
4.33944537,8.827789345,11.37497486,4.628695505,3.721349227,5.349488506,7.71589693,9.521649875,9.316226735,7.718332644
3.837298744,9.443934891,11.31226537,4.238135229,3.526599217,6.016635217,6.830848116,9.114694688,6.451272957,5.985862938
4.072660307,9.741637084,10.1119094,3.76213899,3.455455723,6.229217332,5.68605293,7.699603138,5.220935023,4.581411663
4.797195244,9.316814217,8.321340037,3.494380319,3.432622478,5.824806011,4.792845715,6.686048233,4.476967469,3.610902698
5.415159704,7.755881727,6.471081185,3.401677523,3.249181235,5.203189027,3.816427917,6.024177244,4.121253691,2.631425988
5.793472368,6.007196211,4.804303266,3.036840097,3.327413455,4.528428492,3.310357379,6.272777857,4.142305256,2.301483353
5.879773931,4.420203139,3.61691269,2.74591095,3.646812739,3.998083003,2.900085369,6.271906798,4.36597145,2.13642498
5.486747559,3.493910311,2.781203559,2.443427183,3.801432943,3.193781104,2.793383793,6.432296658,4.467103437,2.007147731
5.110967551,2.849002489,2.267337782,2.180347762,3.574259479,2.666573612,2.721269153,6.188844424,4.585725149,2.114127765
4.143945006,3.011666912,1.955745974,1.956892101,3.135742368,2.305453091,2.541886607,5.468176806,4.64258915,2.337472999
3.867168834,2.943838344,1.849887434,1.832623574,2.533301838,2.155382606,2.292320923,4.634403838,4.556637704,2.690368653
3.232212864,3.125894465,1.894077359,1.738522167,1.987666692,1.886642833,2.337598149,3.792536438,4.406026086,3.074227908
3.232949832,3.20766934,2.080442905,1.797539889,1.495845798,1.82279551,2.485605791,3.539796441,4.300546459,3.33731073
3.343613746,3.248564349,2.409688223,2.078891167,1.068396291,2.017380454,2.605529209,3.695882932,4.318230358,3.5247911
3.510382841,3.484639805,2.892196566,2.5810148,0.727897031,2.41279677,2.830658146,4.052715608,4.556402993,3.763067898
3.750663029,3.663907372,3.50529028,3.399875441,0.48528948,2.99381468,3.191044038,4.503757512,5.020502172,3.965080549
4.173665581,3.77630515,4.202293661,4.659805695,0.482386048,3.663737364,3.708550936,5.1107028,5.196889357,4.166933277
4.194523094,3.958865435,4.903126947,6.248449419,0.713846408,4.411444068,4.455356989,5.689924903,5.392928833,4.575309414
3.897596776,3.748575972,5.536878039,7.470881982,1.362924822,5.088020871,5.251625638,6.36294494,5.562956469,4.968887609
3.839468003,3.665882769,5.944044489,7.97391117,2.427877954,5.534470563,5.944886011,6.845923441,5.625585176,4.950787159
3.778278981,3.540373344,6.068913118,8.100723989,4.007946695,5.608859852,6.686923113,7.406296679,5.604235684,4.805883796
4.131014275,3.529583601,5.942648604,8.137885852,5.938963208,5.517939618,7.358390281,7.802406978,5.882003558,4.495732098
4.616669718,3.563689437,5.622088826,7.976900552,8.447080714,5.853766411,7.845018481,8.265948849,6.325411027,4.139932445
4.91815466,3.809865753,5.21930324,7.891831341,9.682962327,6.609590762,8.583484784,8.802036129,7.022693206,4.078976271
4.733247415,4.025072729,4.872865293,7.122630248,9.860585646,7.271730426,9.625099011,9.523688021,7.855694148,4.419237028
4.519039689,4.215075072,4.543804465,6.683595893,8.809570382,7.923658041,10.69469538,8.902666361,8.455816713,4.727148606
4.344282545,4.316593701,4.359326535,6.348250639,7.792830497,8.298924093,11.24387082,8.051654909,9.720232296,5.101766146
4.103569563,4.177541472,4.24566544,6.14962549,6.665214272,8.453548331,11.19853773,7.489714662,10.91026946,5.518601043
3.617927366,4.012737914,4.255857937,6.015205305,5.787892947,8.141757266,10.94862987,6.965869661,10.61725685,5.678447302
3.502730594,4.210497636,4.302669444,5.799420861,5.105270212,8.005616197,10.69850229,6.592088527,10.51286394,5.725130466
3.448375891,4.253568408,4.361451536,5.183037441,4.78073551,8.138095446,9.568042231,6.828934401,9.99858887,5.525218173
3.493217006,4.254654189,4.405266593,4.402335282,4.512978677,8.247139162,7.85941437,7.161496568,9.776833826,5.250359062
3.487238119,4.115259796,4.356174491,3.91542245,4.964673336,7.429407661,6.904235756,7.437953784,8.941430817,4.759450822
3.501081326,3.988185657,4.160069825,3.394232902,5.185522977,6.563332185,6.170577904,7.918535262,7.84970761,4.28167976
3.260074901,3.806605614,3.83056731,3.114355806,5.056056729,6.651762891,6.034494629,7.775005193,6.551570953,3.861810087
3.20660171,3.524354021,3.408214646,2.895510494,4.563990598,6.072459977,5.842263498,7.751094452,5.298624009,3.677574134
3.363832927,3.369847928,2.957388679,2.788843676,4.033706337,5.596077657,5.711536324,6.984809635,4.144946598,3.475401542
3.064525319,2.873033643,2.497639336,2.698147723,3.520854208,5.083246885,5.678079685,5.819830496,3.208457253,3.274086985
2.607460252,2.492628691,2.087266372,2.763266643,3.019864996,4.506895873,5.705546147,4.864924663,2.537555145,3.075648613
2.555940261,2.103716806,1.754137365,2.715856157,2.708944116,3.835934562,5.612099714,4.215585641,2.160044482,2.702365863
2.586427477,1.718184055,1.513370431,2.732934354,2.443284374,3.45179701,5.726447758,4.08651805,2.016849291,2.446256813
2.843950086,1.479131869,1.369506474,2.834776134,2.194579587,3.238493249,6.161413749,4.328499936,1.960094029,2.309131445
3.333315269,1.331002486,1.297645872,2.990152475,1.989710099,3.009320254,6.618640994,4.840513635,2.064586318,2.215628479
4.418228757,1.220890961,1.303678329,3.236184538,1.903685789,2.713516402,7.271897088,5.501191769,2.3599077,2.104691253
5.890999484,1.323692105,1.401580596,3.493923057,1.929928952,2.45464111,7.746102766,6.832356616,2.840696163,1.957316016
