Year,Chl,NAO,Temperature,RSWT,Light,Secchi,Stratification,GSI,PO4,SiO4,NH4,NO32,precip,salinity,sumStart,sumMax,sumEnd,sumDur
1972,18.61272368,0.793333333,19.44375,0.401099556,459.4345,2.445454545,NA,-1.215591667,1.669230769,11.48833333,0.69375,1.43,0.15487395,28.47777778,22,27,36,14
1973,24.58443055,0.3,20.08125,-0.037196642,441.056,1.96,1.058226818,-1.2998,1.595882353,9.205882353,0.829411765,0.521386667,0.120420168,28.6697619,24,26,38,14
1974,15.94387755,-0.513333333,20.221875,3.103604877,476.5985,1.977272727,0.530829921,-0.776825,1.124375,7.565625,0.8675,0.5811,0.105546218,31.895,24,33,38,14
1975,15.61882818,0.15,20.14,-0.370126646,452.9525,1.863636364,0.485507036,0.06325,1.316875,8.163125,0.46,0.009706667,0.104537815,30.46,24,34,38,14
1976,13.76316656,0.8,20.50625,0.975869706,492.1315,1.958333333,0.717600826,-0.718641667,1.114375,15.6475,1.39125,0.4407,0.150420168,31.44444444,25,33,38,13
1977,19.61451247,-0.433333333,20.9875,-0.910633691,491.4175,2.375,0.069583051,-0.301558333,2.181111111,9.253333333,2.437777778,0.856266667,0.086218487,31.08,27,31,38,11
1978,11.52622339,0.293333333,19.91176471,-2.07752867,441.735,2.173076923,0.422742937,-1.057491667,1.252352941,7.834117647,1.212352941,0.494917647,0.108235294,31.01578947,23,30,37,14
1979,26.59128167,1.13,20.10588235,1.268660881,506.9015,2.192307692,0.604174949,-1.5087,0.992941176,11.12882353,1.802941176,0.5187,0.149579832,29.26363636,22,25,37,15
1980,11.99619633,-1.01,20.51470588,1.168797042,489.2895,1.659090909,0.594641709,-0.302225,1.740625,12.84375,1.104375,0.5304,0.072268908,31.40909091,31,35,38,7
1981,9.109450232,-0.003333333,21.00625,-0.85733463,478.45,2.076923077,0.438901205,-0.704875,1.633529412,10.58470588,1.475294118,0.681505882,0.094453782,30.82727273,26,31,38,12
1982,13.89620364,-0.073333333,19.7625,-0.226284972,443.1105,1.942307692,0.98722244,-1.112075,0.96375,12.4875,1.54375,0.8385,0.18487395,29.41818182,23,28,38,15
1983,11.58794163,1.263333333,20.91764706,-0.792638517,477.7115,2.136363636,0.874018575,-0.1581,1.35,16.11,1.11,0.3185,0.086470588,29.76666667,22,36,38,16
1984,12.80254037,0.22,20.32941176,2.586272799,440.895,2.134615385,1.930224074,0.33235,1.361875,22.54764706,1.065294118,3.4229,0.150084034,28.81428571,26,34,38,12
