Year,Chl,NAO,Temperature,RSWT,Light,Secchi,Stratification,GSI,PO4,SiO4,NH4,NO32,precip,salinity,winStart,winMax,winDur,winEnd
1972,32.20929949,0.2725,2.8875,0.401099556,255.89025,2.860769231,NA,-1.215591667,0.633076923,3.374,1.2,2.392,0.135625,29.1,7,12,9,16
1973,15.66088801,0.1625,3.7625,-0.037196642,262.255875,3.179411765,0.647608416,-1.2998,0.446875,9.364285714,1.25,6.08608,0.127083333,27.99090909,9,11,7,16
1974,15.17171385,0.42,3.653125,3.103604877,286.5555,2.666666667,0.544811658,-0.776825,0.765625,11.88928571,2.54875,6.0749,0.134821429,29.65833333,8,10,8,16
1975,9.100010972,-0.5625,3.4125,-0.370126646,248.47725,2.941176471,0.415960383,0.06325,1.06625,9.018125,3.621428571,5.18635,0.135066964,29.34,11,12,4,15
1976,9.700735132,0.4225,4.033333333,0.975869706,263.137875,2.84375,0.886039734,-0.718641667,0.496875,8.862,2.566,2.95815,0.125982143,29.05,6,9,6,12
1977,20.50064265,-0.4225,3.1,-0.910633691,260.0325,2.461538462,0.599654555,-0.301558333,0.227142857,0.813571429,1.066153846,1.222,0.132767857,31.3125,1,2,13,14
1978,8.238241533,-0.5025,2.492307692,-2.07752867,287.812875,3.053571429,0.545135412,-1.057491667,0.323846154,5.547692308,1.639230769,4.332,0.159285714,29.9375,12,13,4,16
1979,6.475020115,-0.745,2.88125,1.268660881,239.281875,2.519230769,0.329915948,-1.5087,0.889375,7.2675,2.374375,4.1418,0.1834375,30.3125,12,14,4,16
1980,19.59791361,0.07,3.203125,1.168797042,260.155875,2.558823529,0.407815209,-0.302225,0.351875,1.958125,0.561875,1.851893333,0.130535714,30.84166667,2,4,14,16
1981,16.17154926,0.115,2.75,-0.85733463,258.3945,2.716666667,0.441145942,-0.704875,0.409375,1.564375,0.416875,0.8125,0.081696429,30.94545455,1,3,11,12
1982,7.609594706,0.3775,2.353333333,-0.226284972,259.85925,3.1,0.250270025,-1.112075,1.176363636,7.636428571,1.884285714,6.6352,0.156071429,28.79,10,11,2,12
1983,6.941244239,0.29,4.28125,-0.792638517,221.73375,2.647058824,1.072339662,-0.1581,0.68125,13.76875,3.51875,6.552,0.226428571,28.44166667,2,2,1,3
1984,14.0018104,0.4325,3.14375,2.586272799,221.2105,3.513888889,0.904470815,0.33235,1.344444444,6.575,1.9875,17.72622222,0.164910714,28.1,8,10,8,16
1985,10.68100358,-0.395,3.04375,3.560218601,253.5815625,3.458333333,0.251130026,1.02125,0.41375,2.220625,1.884615385,1.9461,0.0645,30.50769231,4,6,5,9
1986,9.521066492,0.3075,4.2375,1.747652545,258.9922125,3.411764706,0.407095906,-0.404075,0.205,0.872,0.949375,0.5967,0.118549107,29.59166667,3,5,8,11
1987,19.25243216,0.065,4.656666667,-0.691993613,253.030575,3.446428571,1.191777429,-0.515816667,0.573333333,9.726666667,1.695833333,3.682466667,0.159285714,28.87777778,12,16,4,16
1988,13.98727233,0.11,3.1875,-1.088085436,258.1637625,2.958333333,0.997170202,-0.063133333,0.66,4.444,0.632,0.2704,0.111741071,27.4,1,1,15,16
1989,8.404652183,1.325,3.53125,-2.4739163,239.4832125,4.411764706,0.608999697,0.160158333,0.573846154,1.557692308,0.445384615,1.4424,0.105535714,30.01666667,8,11,4,12
1990,6.745117402,1.4775,3.343333333,0.809927505,207.83595,4.194444444,0.520705394,0.592241667,0.911428571,1.302857143,6.071428571,2.144285714,0.134151786,29.01666667,2,5,7,9
1991,5.082839587,0.4975,5.217857143,1.876132504,285.1345,4.166666667,0.221137792,0.917616667,0.7625,14.58125,3.9375,0,0.115446429,29.56,8,8,8,16
1992,4.087118719,0.9175,3.483333333,1.231091299,283.899,5.5625,0.750622951,0.966525,0.886666667,11.925,4.45,0.624,0.122477679,28.4,6,9,7,13
1993,3.7332675,0.935,3.19,2.434914949,248.3775,4.09375,0.789126477,0.77705,1.16,23.62,8.86,3.66,0.163035714,27.91666667,12,14,3,15
1994,9.871991807,0.975,1.79375,3.61683072,286.4386,3.917647059,0.601709558,1.237791667,0.525714286,5.472857143,3.946666667,4.93,0.149107143,28.61,6,13,4,10
1995,NA,0.6175,4.546666667,3.685452883,269.094525,3.627058824,0.34630729,1.744841667,0.626875,15.230625,1.859333333,4.773571429,0.101964286,29.575,1,1,1,2
1996,NA,-0.15,2.75,-0.167365047,294.21175,3.196666667,0.84554867,-0.130416667,0.430625,9.184375,2.59625,5.533125,0.120967262,28.60833333,1,1,1,2
1997,NA,0.4125,4.796875,0.972034989,NA,3.517647059,0.723771056,-0.361591667,NA,NA,NA,NA,0.121316964,28.175,1,1,1,2
1998,NA,0.1175,4.961538462,-3.673797313,NA,NA,NA,-0.678675,NA,NA,NA,NA,0.195089286,NA,NA,NA,NA,0
1999,5.634166667,0.085,4.321875,3.440631967,NA,NA,NA,-0.128758333,NA,NA,NA,NA,0.147767857,NA,9,9,7,16
2000,11.34133333,0.76,4.433333333,3.052513264,NA,NA,1.046084091,1.128583333,NA,NA,NA,NA,0.117946429,33.33333333,7,10,7,14
2001,10.28133333,-0.14,2.7875,-0.128526581,NA,NA,1.026675762,1.26285,NA,NA,NA,NA,0.135892857,29.025,6,7,2,8
2002,4.771333333,0.8525,5.3625,0.950023427,NA,NA,0.443910271,0.924391667,NA,NA,NA,NA,0.094107143,31,9,10,2,11
2003,8.936875,0.23,2,0.346446908,487.7904896,NA,0.842185972,-0.067866667,NA,1.78,NA,NA,0.129084821,29.50833333,1,6,15,16
2004,13.644,0.435,3.253846154,-0.22306774,475.0919666,3.033333333,0.924913594,-0.706875,0.1588,2.569333333,0.961533333,1.712333333,0.110416667,29.725,1,5,15,16
2005,2.517333333,-0.1675,3.32,0.262977536,418.1182207,4.278125,0.818693068,-0.1335,0.512066667,13.12214286,2.2342,4.697333333,0.143303571,28.815,15,16,1,16
2006,2.676875,0.18,4.773333333,2.086490937,412.8357026,2.7,0.469886382,0.585308333,0.375352941,12.33266667,1.177529412,5.977529412,0.090267857,28.71363636,1,1,1,2
