Year,Decade,winStart,winMax,winEnd,winDur,sumStart,sumMax,sumEnd,sumDur,winfreq,sumfreq,totalfreq,5TH,notes
1968,1970s,,,,,24,25,28,4,,6,,11.98,
1969,1970s,2,2,7,5,,,,,3,,,30.83,
1970,1970s,,,,,,,,,,,,,
1971,1970s,,,,,,,,,,,,,
1972,1970s,7,12,14,7,17,27,35,18,2,1,3,13.15,
1973,1970s,9,9,12,3,21,24,28,7,4,7,11,15.26,
1974,1970s,8,9,11,3,25,26,30,5,4,5,9,11.88,
1975,1970s,9,10,13,4,23,24,29,6,3,3,6,8.95,
1976,1970s,7,8,10,3,24,27,29,5,4,5,9,8.43,
1977,1970s,1,1,12,11,32,33,34,2,3,3,6,10.75,don't include summer because 10 week data gap?
1978,1970s,10,10,14,4,26,33,35,9,2,2,4,8.73,data gaps in summer
1979,1970s,11,12,14,3,18,23,28,10,2,4,6,6.75,
1980,1980s,1,1,7,6,31,34,37,6,4,6,10,10.55,
1981,1980s,1,1,5,4,24,25,26,2,3,5,8,6.33,
1982,1980s,9,10,11,2,21,24,32,11,2,3,5,7.33,
1983,1980s,2,2,4,2,22,23,24,2,3,5,8,11.53,
1984,1980s,6,8,10,4,24,25,27,3,4,4,8,7.42,
1985,1980s,3,6,8,5,24,25,37,13,2,4,6,7.7,
1986,1980s,1,2,5,4,27,28,34,7,4,3,7,8.4,"short small bloom week 22, use that instead?"
1987,1980s,8,8,9,1,25,31,33,8,2,3,5,16.92,
1988,1980s,2,2,17,15,23,24,27,4,1,6,7,7.16,gaps in beginning of year
1989,1980s,1,1,2,1,24,24,25,1,4,7,11,7.46,
1990,1980s,1,3,9,8,27,31,35,8,2,2,4,6.06,biweekly sampling
1991,1980s,8,8,10,2,24,24,38,14,3,2,5,6.03,biweekly sampling
1992,1980s,2,8,12,10,24,26,34,10,1,3,4,2.51,biweekly sampling
1993,1980s,12,14,16,4,26,26,30,4,1,4,5,5.76,
1994,1980s,4,5,8,4,23,25,28,5,4,7,11,6.17,
1995,2000s,,,,,,,,,,,,,
1996,2000s,,,,,,,,,,,,,
1997,2000s,,,,,,,,,,,,,
1998,2000s,,,,,,,,,,,,,
1999,2000s,9,9,10,1,25,28,29,4,3,6,9,5.29,
2000,2000s,2,3,4,2,25,25,26,1,6,5,11,9.7,
2001,2000s,4,5,7,3,25,27,28,3,3,5,8,6.87,
2002,2000s,9,9,10,1,25,27,29,4,2,5,7,5.85,
2003,2000s,1,1,2,1,23,24,26,3,4,5,9,5.83,
2004,2000s,2,3,10,8,24,24,26,2,4,6,10,6.44,
2005,2000s,8,9,10,2,25,26,40,15,3,3,6,3.94,
2006,2000s,1,1,2,1,20,23,24,4,4,6,10,4.31,
2007,2000s,3,3,4,1,24,24,25,1,4,6,10,7.15,
2008,2000s,1,1,4,3,25,25,26,1,2,5,7,7.15,
2009,2000s,9,10,11,2,24,26,27,3,3,4,7,3.9,
2010,2010s,3,5,8,5,24,24,26,2,4,7,11,4.16,
2011,2010s,2,2,7,5,25,25,26,1,4,4,8,4.25,
2012,2010s,,,,,,,,,,,,,
2013,2010s,4,5,9,5,23,25,39,16,2,4,6,3.35,
2014,2010s,2,4,6,4,25,25,28,3,4,3,7,3.68,
2015,2010s,8,9,10,2,25,26,28,3,4,4,8,5.34,
2016,2010s,6,6,9,3,25,28,29,4,2,5,7,6.27,
2017,2010s,1,2,3,2,25,25,26,1,4,8,12,6.66,
2018,2010s,1,3,7,6,22,22,27,5,3,3,6,5.7,
2019,2010s,2,5,7,5,24,25,29,5,4,3,7,3.94,
,,,,,,,,,,,,,,
,,4.613636364,,8.636363636,,24.13636364,,29.70454545,,,,,,
